OBJECTID,Name,Type,Location_Comment,Streetview_Link,WGS84Longitude,WGS84Latitude
1,Athlone,Public Slipways,,"https://www.google.com/maps?q=&layer=c&cbll=53.426291,-7.945972",-7.945972,53.426291
2,Ballyforan,Public Slipways,,"https://www.google.com/maps?q=&layer=c&cbll=53.467053,-8.276472",-8.276472,53.467053
3,Gailey Bay,Public Slipways,,"https://www.google.com/maps?q=&layer=c&cbll=53.577734,-8.065614",-8.065614,53.577734
4,Hodson Bay,Public Slipways,,"https://www.google.com/maps?q=&layer=c&cbll=53.467507,-7.987609",-7.987609,53.467507
5,Portrunny Harbour,Public Slipways,,"https://www.google.com/maps?q=&layer=c&cbll=53.591238,-8.061219",-8.061219,53.591238
6,Coreenford,Public Slipways,between Ballinasloe  Shannon Bridge,"https://www.google.com/maps?q=&layer=c&cbll=53.281975,-8.149057",-8.149057,53.281975
7,Lanesborough,Public Slipways,,"https://www.google.com/maps?q=&layer=c&cbll=53.675877,-7.992062",-7.992062,53.675877
8,"Kilglass,",Public Slipways,,"https://www.google.com/maps?q=&layer=c&cbll=53.807332,-8.031077",-8.031077,53.807332
9,"Grange Lake, Roosky",Public Slipways,,"https://www.google.com/maps?q=&layer=c&cbll=53.823695,-8.068732",-8.068732,53.823695
10,Roosky Village,Public Slipways,,"https://www.google.com/maps?q=&layer=c&cbll=53.832267,-7.919495",-7.919495,53.832267
11,Cortober,Public Slipways,,"https://www.google.com/maps?q=&layer=c&cbll=53.942351,-8.0974",-8.0974,53.942351
12,Keadue,Public Slipways,Lough Meelagh Amenity Area,"https://www.google.com/maps?q=&layer=c&cbll=54.0610754,-8.166618",-8.167211,54.060761
13,Keadue,Public Slipways,Knockranny Amenity Area,"https://www.google.com/maps?q=&layer=c&cbll=54.05459,-8.150847",-8.150847,54.05459
14,Cootehall,Public Slipways,,"https://www.google.com/maps?q=&layer=c&cbll=53.981441,-8.160829",-8.160829,53.981441
15,Knockvicar,Public Slipways,,"https://www.google.com/maps?q=&layer=c&cbll=53.998907,-8.194973",-8.194973,53.998907
16,Rockingham,Public Slipways,,"https://www.google.com/maps?q=&layer=c&cbll=53.985524,-8.233919",-8.233919,53.985524
17,Lanesborough,Public Slipways,,"https://www.google.com/maps?q=&layer=c&cbll=53.675877,-7.992062",-7.992062,53.675877
18,Tarmonbarry,Public Slipways,,"https://www.google.com/maps?q=&layer=c&cbll=53.741966,-7.918561",-7.918561,53.741966
